Universal ACDC v.1.38
importing alife objects...
importing alife objects from file alife_l07_military.ltx...
team 0, squad 0, group 0, mil_bloodsucker_normal
team 0, squad 0, group 0, mil_stalker_0001
team 0, squad 0, group 0, mil_stalker_0002
team 0, squad 0, group 0, mil_stalker_0003
team 0, squad 0, group 0, mil_stalker_0004
team 0, squad 0, group 0, sim_stalker_master_chuchelo
team 0, squad 0, group 0, sim_stalker_master_diador
team 0, squad 0, group 0, sim_stalker_master_master
team 0, squad 0, group 0, sim_stalker_prut
team 0, squad 0, group 0, mil_stalker_monolith_0000_w1
team 0, squad 0, group 0, mil_stalker_monolith_0003_w2
team 0, squad 0, group 0, mil_stalker_monolith_0004_w2
team 0, squad 0, group 0, mil_stalker_monolith_0006_w1
team 0, squad 0, group 0, mil_stalker_monolith_0007_w1
team 0, squad 0, group 0, mil_stalker_monolith_0008_w1
team 0, squad 0, group 0, mil_stalker_monolith_0009_w2
team 0, squad 0, group 0, mil_stalker_monolith_0010_w2
team 0, squad 0, group 0, mil_stalker_monolith_0012_w1
team 0, squad 0, group 0, mil_stalker_monolith_0015_w2
team 0, squad 0, group 0, mil_stalker_monolith_0016_w3
team 0, squad 0, group 0, mil_stalker_monolith_0017_w3
team 0, squad 0, group 0, mil_stalker_monolith_0018_w3
team 0, squad 0, group 0, mil_stalker_monolith_0019_w3
team 0, squad 0, group 0, mil_stalker_monolith_0020_w3
team 0, squad 0, group 0, mil_stalker_monolith_0021_w3
team 0, squad 0, group 0, mil_stalker_monolith_w1
team 11, squad 7, group 0, mil_freedom_member0012
team 11, squad 7, group 0, mil_freedom_member0021
team 0, squad 0, group 0, military_btr_freedom
importing alife objects from file alife_l13_generators_ogse.ltx...
team 0, squad 0, group 0, generators_boar_strong
team 0, squad 0, group 0, generators_boar_strong_0000
team 0, squad 0, group 0, generators_boar_strong_0001
team 0, squad 0, group 0, generators_boar_strong_0002
team 0, squad 0, group 0, generators_boar_strong_0003
team 0, squad 0, group 0, generators_dog_normal
team 0, squad 0, group 0, generators_dog_normal_0000
team 0, squad 0, group 0, generators_dog_normal_0001
team 0, squad 0, group 0, generators_dog_strong
team 0, squad 0, group 0, generators_dog_strong_0000
team 0, squad 0, group 0, generators_dog_strong_0001
team 0, squad 0, group 0, generators_dog_strong_0002
team 0, squad 0, group 0, generators_dog_strong_0003
team 0, squad 0, group 0, generators_dog_weak
team 0, squad 0, group 0, generators_dog_weak_0000
team 0, squad 0, group 0, generators_dog_weak_0001
team 0, squad 0, group 0, generators_dog_weak_0002
team 0, squad 0, group 0, generators_psy_dog_radar
team 0, squad 0, group 0, generators_psy_dog_radar_0000
team 0, squad 0, group 0, generators_snork_strong
team 0, squad 0, group 0, generators_snork_strong_0000
team 0, squad 0, group 0, generators_snork_strong_0001
team 0, squad 0, group 0, generators_snork_strong_0002
team 0, squad 0, group 0, generators_snork_strong_0003
team 0, squad 0, group 0, generators_snork_strong_0004
team 0, squad 0, group 0, generators_snork_strong_0005
team 0, squad 0, group 0, generators_snork_strong_0006
team 0, squad 0, group 0, generators_snork_strong_0007
team 0, squad 0, group 0, generators_snork_strong_0008
team 0, squad 0, group 0, gen_btr_monolith
team 0, squad 1, group 1, warlab_sniper_1
team 0, squad 1, group 1, warlab_sniper_2
team 0, squad 1, group 1, warlab_sniper_3
team 0, squad 1, group 1, warlab_sniper_4
team 0, squad 1, group 1, warlab_sniper_5
team 0, squad 1, group 1, warlab_sniper_6
team 0, squad 1, group 1, warlab_sniper_7
team 0, squad 1, group 1, warlab_sniper_8
team 0, squad 1, group 1, warlab_assault_1
team 0, squad 1, group 1, warlab_assault_2
team 0, squad 1, group 1, warlab_assault_3
team 0, squad 1, group 1, warlab_assault_4
team 0, squad 1, group 1, warlab_assault_5
team 0, squad 1, group 1, warlab_assault_6
team 0, squad 1, group 1, warlab_assault_7
team 0, squad 1, group 1, warlab_patrol_1
team 0, squad 1, group 1, warlab_patrol_2
team 0, squad 1, group 1, warlab_patrol_3
team 0, squad 1, group 1, warlab_operator
team 0, squad 1, group 1, warlab_scout_1
team 0, squad 1, group 1, warlab_scout_2
team 0, squad 1, group 1, warlab_scout_3
team 0, squad 1, group 1, warlab_scout_4
team 0, squad 1, group 1, warlab_scout_5
team 0, squad 1, group 1, freedomer_leader
team 0, squad 1, group 1, freedomer_assault_1
team 0, squad 1, group 1, freedomer_assault_2
team 0, squad 1, group 1, freedomer_sniper_1
team 0, squad 1, group 1, freedomer_sniper_2
team 0, squad 1, group 1, freedomer_sniper_3
team 0, squad 1, group 1, dutyman_leader
team 0, squad 1, group 1, dutyman_assault_1
team 0, squad 1, group 1, dutyman_assault_2
team 0, squad 1, group 1, dutyman_sniper_1
team 0, squad 1, group 1, dutyman_sniper_2
team 0, squad 1, group 1, dutyman_sniper_3
team 0, squad 0, group 0, gen_dead_ecolog
team 0, squad 1, group 1, stalker_run_forest
importing alife objects from file alife_l05_bar.ltx...
team 0, squad 0, group 0, bloodsucker_gorb_killer
team 0, squad 0, group 0, bar_barman
team 0, squad 0, group 0, bar_m_crow
team 0, squad 0, group 0, bar_m_crow_0000
team 0, squad 0, group 0, bar_m_crow_0001
team 0, squad 0, group 0, bar_m_crow_0002
team 0, squad 0, group 0, bar_m_crow_0003
team 0, squad 0, group 0, bar_m_crow_0004
team 0, squad 0, group 0, bar_m_crow_0005
team 0, squad 0, group 0, bar_m_crow_0006
team 0, squad 0, group 0, bar_m_crow_0007
team 0, squad 0, group 0, bar_m_crow_0008
team 0, squad 0, group 0, bar_m_crow_0009
team 0, squad 0, group 0, bar_m_crow_0010
team 0, squad 0, group 0, bar_m_crow_0011
team 0, squad 0, group 0, bar_m_crow_0012
team 0, squad 0, group 0, bar_m_crow_0013
team 0, squad 0, group 0, bar_m_crow_0014
team 0, squad 0, group 0, bar_m_crow_0015
team 0, squad 5, group 1, bar_m_dog_e_0000
team 0, squad 5, group 1, bar_m_dog_e_0001
team 0, squad 5, group 1, bar_m_dog_e_0003
team 0, squad 5, group 1, bar_m_dog_e_0005
team 0, squad 5, group 1, bar_m_dog_e_0007
team 0, squad 5, group 1, bar_m_dog_e_0009
team 0, squad 5, group 1, bar_m_dog_e_0010
team 0, squad 5, group 1, bar_m_dog_e_0011
team 0, squad 5, group 1, bar_m_dog_e_0012
team 0, squad 5, group 1, bar_m_dog_e_0013
team 0, squad 5, group 1, bar_m_dog_e_0014
team 0, squad 5, group 1, bar_m_dog_e_0015
team 0, squad 5, group 1, bar_m_dog_e_0016
team 0, squad 5, group 1, bar_m_dog_e_0017
team 0, squad 5, group 1, bar_m_dog_e_0018
team 0, squad 5, group 1, bar_m_dog_e_0019
team 0, squad 5, group 1, bar_m_dog_e_0020
team 0, squad 5, group 1, bar_m_dog_e_0021
team 0, squad 5, group 1, bar_m_pseudodog_e
team 0, squad 5, group 1, bar_m_pseudodog_e_0000
team 0, squad 5, group 1, bar_m_pseudodog_e_0001
team 0, squad 5, group 4, bar_dolg_petrenko
team 0, squad 1, group 2, izgoy_first_patient
team 0, squad 1, group 2, izgoy_lider
team 0, squad 1, group 2, izgoy_pomoshnik
team 0, squad 1, group 2, izgoy_second_patient
team 0, squad 5, group 0, bar_angar_zoneguard
team 0, squad 0, group 0, bar_arena_man
team 0, squad 5, group 27, bar_bar_drunk_dolg
team 0, squad 5, group 20, bar_bar_guard
team 0, squad 5, group 20, bar_bar_guard_2
team 0, squad 5, group 28, bar_bar_lisiy
team 0, squad 5, group 0, bar_bar_osvedomitel
team 0, squad 8, group 8, bar_bar_stalker
team 0, squad 5, group 27, bar_bar_visitor_hunter
team 0, squad 5, group 27, bar_bar_visitors_1_2
team 0, squad 5, group 27, bar_bar_visitors_2_1
team 0, squad 5, group 28, bar_bar_visitors_3_2
team 0, squad 5, group 28, bar_bar_visitors_3_3
team 0, squad 5, group 28, bar_bar_visitors_3_4
team 0, squad 5, group 4, bar_dolg_bunker_0001
team 0, squad 5, group 4, bar_dolg_bunker_0002
team 0, squad 5, group 4, bar_dolg_bunker_1
team 0, squad 5, group 4, bar_dolg_bunker_2
team 0, squad 5, group 4, bar_dolg_bunker_3
team 0, squad 5, group 4, bar_dolg_bunker_4
team 0, squad 5, group 4, bar_dolg_bunker_5
team 0, squad 5, group 4, bar_dolg_ivancov
team 0, squad 5, group 4, bar_dolg_regular_1
team 0, squad 5, group 4, bar_dolg_regular_4
team 0, squad 5, group 4, bar_dolg_regular_5
team 0, squad 5, group 4, bar_dolg_veteran_2
team 0, squad 5, group 4, bar_dolg_veteran_3
team 0, squad 1, group 2, bar_guider
team 0, squad 8, group 8, bar_house_stalker
team 0, squad 1, group 0, bar_kulg_agent
team 0, squad 0, group 0, bar_stalker
team 0, squad 0, group 0, bar_stalker_0000
team 0, squad 0, group 0, bar_stalker_0001
team 0, squad 0, group 0, bar_stalker_0004
team 5, squad 8, group 3, bar_stalker_0005
team 5, squad 8, group 3, bar_stalker_0006
team 5, squad 8, group 3, bar_stalker_0007
team 5, squad 8, group 3, bar_stalker_0008
team 5, squad 8, group 3, bar_stalker_0009
team 5, squad 8, group 3, bar_stalker_0010
team 5, squad 8, group 3, bar_stalker_0011
team 5, squad 8, group 7, bar_stalker_0012
team 5, squad 8, group 7, bar_stalker_0013
team 5, squad 8, group 3, bar_stalker_0014
team 5, squad 8, group 3, bar_stalker_0015
team 5, squad 8, group 3, bar_stalker_0016
team 5, squad 8, group 3, bar_stalker_0017
team 5, squad 8, group 3, bar_stalker_0018
team 5, squad 8, group 3, bar_stalker_0019
team 5, squad 8, group 3, bar_stalker_0020
team 5, squad 8, group 3, bar_stalker_0021
team 5, squad 8, group 3, bar_stalker_0022
team 5, squad 8, group 3, bar_stalker_0023
team 5, squad 8, group 3, bar_stalker_0024
team 5, squad 8, group 3, bar_stalker_0025
team 5, squad 8, group 3, bar_stalker_0026
team 0, squad 0, group 0, bar_visitor_10
team 0, squad 0, group 0, bar_visitor_12
team 0, squad 0, group 0, bar_visitor_13
team 0, squad 0, group 0, bar_visitor_2
team 0, squad 0, group 0, bar_visitor_4
team 0, squad 0, group 0, bar_visitor_7
team 0, squad 0, group 0, bar_visitor_8
team 0, squad 5, group 9, bar_zastava_2_square_1_guard_2
team 0, squad 5, group 9, bar_zastava_2_square_1_guard_4
team 0, squad 5, group 9, bar_zastava_2_square_1_guard_6
team 0, squad 5, group 8, bar_zastava_commander_1
team 0, squad 5, group 8, bar_zastava_guard_1
team 0, squad 5, group 8, bar_zastava_guard_2
team 0, squad 5, group 8, bar_zastava_guard_3
team 0, squad 0, group 0, sim_stalker_gusarov
team 0, squad 0, group 0, sim_stalker_prapor
team 0, squad 0, group 0, sim_stalker_umnik
team 0, squad 5, group 4, bar_dolg_leader
team 0, squad 5, group 27, stalker_hvost
importing alife objects from file alife_l02_garbage.ltx...
team 0, squad 0, group 0, gar_boar_rush_0002
team 0, squad 0, group 0, gar_boar_rush_0006
team 0, squad 0, group 0, gar_boar_rush_0007
team 0, squad 0, group 0, gar_boar_rush_0008
team 0, squad 0, group 0, gar_boar_rush_0009
team 0, squad 0, group 0, gar_boar_rush_0010
team 0, squad 0, group 0, gar_m_crow
team 0, squad 0, group 0, gar_m_crow_0000
team 0, squad 0, group 0, gar_m_crow_0001
team 0, squad 0, group 0, gar_m_crow_0002
team 0, squad 0, group 0, gar_m_crow_0003
team 0, squad 0, group 0, gar_m_crow_0004
team 0, squad 0, group 0, gar_m_crow_0005
team 0, squad 0, group 0, gar_m_crow_0006
team 0, squad 0, group 0, gar_m_crow_0007
team 0, squad 0, group 0, gar_m_crow_0008
team 0, squad 0, group 0, gar_m_crow_0009
team 0, squad 0, group 0, gar_m_crow_0010
team 0, squad 0, group 0, gar_m_crow_0011
team 0, squad 0, group 0, gar_m_crow_0012
team 0, squad 0, group 0, gar_m_crow_0013
team 0, squad 0, group 0, gar_m_crow_0014
team 0, squad 0, group 0, gar_m_crow_0015
team 0, squad 0, group 0, gar_m_crow_0016
team 0, squad 0, group 0, gar_m_crow_0017
team 0, squad 0, group 0, gar_m_crow_0018
team 0, squad 0, group 0, gar_m_crow_0019
team 0, squad 0, group 0, gar_m_crow_0020
team 0, squad 0, group 0, gar_m_crow_0021
team 0, squad 0, group 0, gar_m_crow_0022
team 0, squad 0, group 0, gar_m_crow_0023
team 0, squad 0, group 0, gar_m_crow_0024
team 0, squad 0, group 0, gar_m_crow_0025
team 0, squad 6, group 5, gar_pseudodog_weak
team 0, squad 2, group 1, gar_bandit_agr_1
team 0, squad 2, group 1, gar_bandit_agr_10
team 0, squad 2, group 1, gar_bandit_agr_11
team 0, squad 2, group 1, gar_bandit_agr_12
team 0, squad 2, group 1, gar_bandit_agr_13
team 0, squad 2, group 1, gar_bandit_agr_2
team 0, squad 2, group 1, gar_bandit_agr_3
team 0, squad 2, group 1, gar_bandit_agr_4
team 0, squad 2, group 1, gar_bandit_agr_5
team 0, squad 2, group 1, gar_bandit_agr_6
team 0, squad 2, group 1, gar_bandit_agr_7
team 0, squad 2, group 1, gar_bandit_agr_8
team 0, squad 2, group 1, gar_bandit_agr_9
team 0, squad 2, group 3, gar_bandit_post_1
team 0, squad 2, group 3, gar_bandit_post_2
team 0, squad 2, group 3, gar_bandit_post_3
team 0, squad 2, group 3, gar_bandit_post_4
team 0, squad 2, group 3, gar_bandit_post_5
team 0, squad 2, group 3, gar_bandit_post_6
team 0, squad 2, group 3, gar_bandit_post_7
team 0, squad 2, group 4, gar_bandit_seryi_1
team 0, squad 2, group 4, gar_bandit_seryi_2
team 0, squad 2, group 4, gar_bandit_seryi_3
team 0, squad 2, group 4, gar_bandit_seryi_4
team 0, squad 2, group 4, gar_bandit_seryi_5
team 0, squad 2, group 4, gar_bandit_seryi_6
team 0, squad 2, group 5, gar_bandit_stroyka1
team 0, squad 2, group 5, gar_bandit_stroyka2
team 0, squad 2, group 5, gar_bandit_stroyka3
team 0, squad 2, group 5, gar_bandit_stroyka4
team 0, squad 2, group 5, gar_bandit_stroyka5
team 0, squad 2, group 20, gar_dm_bandit_1
team 0, squad 2, group 20, gar_dm_bandit_2
team 0, squad 2, group 20, gar_dm_bandit_3
team 0, squad 2, group 6, gar_dm_novice
team 0, squad 2, group 7, gar_dolg_blokpost_1
team 0, squad 2, group 7, gar_dolg_blokpost_2
team 0, squad 2, group 7, gar_dolg_blokpost_3
team 0, squad 2, group 7, gar_dolg_blokpost_4
team 0, squad 2, group 7, gar_dolg_blokpost_5
team 0, squad 2, group 7, gar_dolg_blokpost_6
team 0, squad 2, group 7, gar_dolg_blokpost_7
team 0, squad 2, group 7, gar_dolg_blokpost_8
team 0, squad 2, group 0, gar_hellcar
team 0, squad 2, group 0, gar_hellcar_group_1
team 0, squad 2, group 0, gar_hellcar_group_2
team 0, squad 2, group 8, gar_seryi
team 0, squad 2, group 8, gar_seryi_drug2
team 0, squad 2, group 8, gar_seryi_drug3
team 0, squad 2, group 15, gar_sniper_bandit
team 0, squad 0, group 0, gar_stalker
team 0, squad 0, group 0, gar_stalker_0000
team 0, squad 0, group 0, gar_stalker_0001
team 0, squad 0, group 0, gar_stalker_0002
team 0, squad 2, group 0, gar_stalker_0003
team 0, squad 0, group 0, gar_stalker_0004
team 0, squad 0, group 0, gar_stalker_0005
team 0, squad 0, group 0, gar_stalker_0006
team 0, squad 0, group 0, gar_stalker_0007
team 0, squad 0, group 0, gar_stalker_0008
team 0, squad 0, group 0, gar_stalker_0009
team 0, squad 2, group 0, gar_wounded_bandit
importing alife objects from file alife_l12_stancia_2.ltx...
team 0, squad 0, group 0, aes2_snork_strong
team 0, squad 0, group 0, aes2_snork_strong_0000
team 0, squad 0, group 0, aes2_snork_strong_0004
team 0, squad 0, group 0, aes2_snork_strong_0009
team 0, squad 0, group 0, aes2_snork_strong_0010
team 0, squad 0, group 0, aes2_snork_strong_0011
team 0, squad 0, group 0, aes2_snork_strong_0013
team 0, squad 0, group 0, aes2_snork_strong_0014
team 0, squad 0, group 0, aes2_snork_strong_0019
team 0, squad 0, group 0, aes2_snork_strong_0020
team 0, squad 0, group 0, aes2_snork_strong_0032
team 0, squad 0, group 0, aes2_snork_strong_0033
team 0, squad 0, group 0, aes2_snork_outdoor
team 0, squad 0, group 0, aes2_snork_outdoor_0000
team 0, squad 0, group 0, aes2_snork_outdoor_0001
team 0, squad 0, group 0, aes2_snork_strong_0018
team 1, squad 1, group 1, aes2_monolit_stalker_0000
team 1, squad 1, group 1, aes2_monolit_stalker_0001
team 1, squad 1, group 1, aes2_monolit_stalker_0002
team 1, squad 1, group 1, aes2_monolit_stalker_0003
team 1, squad 1, group 1, aes2_monolit_stalker_0004
team 1, squad 1, group 1, aes2_monolit_stalker_0005
team 1, squad 1, group 1, aes2_monolit_stalker_0006
team 1, squad 1, group 1, aes2_monolit_stalker_0007
team 1, squad 1, group 1, aes2_monolit_stalker_0008
team 1, squad 1, group 1, aes2_monolit_stalker_0009
team 1, squad 1, group 1, aes2_monolit_stalker_0010
team 1, squad 1, group 1, aes2_monolit_stalker_0011
team 1, squad 1, group 1, aes2_monolit_stalker_0012
team 1, squad 1, group 1, aes2_monolit_stalker_0013
team 2, squad 2, group 2, aes2_monolit_stalker_0014
team 1, squad 1, group 1, aes2_monolit_stalker_0015
team 1, squad 1, group 1, aes2_monolit_stalker_0016
team 1, squad 1, group 1, aes2_monolit_stalker_0017
team 1, squad 1, group 1, aes2_monolit_stalker_0018
team 1, squad 1, group 1, aes2_monolit_stalker_0019
team 1, squad 1, group 1, aes2_monolit_stalker_0020
team 2, squad 2, group 2, aes2_monolit_stalker_0021
team 1, squad 1, group 1, aes2_monolit_stalker_0022
team 1, squad 1, group 1, aes2_monolit_stalker_0023
team 1, squad 1, group 1, aes2_monolit_stalker_0024
team 1, squad 1, group 1, aes2_monolit_stalker_0025
team 2, squad 2, group 2, aes2_monolit_stalker_0026
team 2, squad 2, group 2, aes2_monolit_stalker_0027
team 2, squad 2, group 2, aes2_monolit_stalker_0028
team 2, squad 2, group 2, aes2_monolit_stalker_0029
team 2, squad 2, group 2, aes2_monolit_stalker_0030
team 2, squad 2, group 2, aes2_monolit_stalker_0031
team 2, squad 2, group 2, aes2_monolit_stalker_0032
team 2, squad 2, group 2, aes2_monolit_stalker_0033
team 2, squad 2, group 2, aes2_monolit_stalker_0034
team 2, squad 2, group 2, aes2_monolit_stalker_0035
team 2, squad 2, group 2, aes2_monolit_stalker_0036
team 2, squad 2, group 2, aes2_monolit_stalker_0037
team 2, squad 2, group 2, aes2_monolit_stalker_0038
team 2, squad 2, group 2, aes2_monolit_stalker_0039
team 2, squad 2, group 2, aes2_monolit_stalker_0040
team 2, squad 2, group 2, aes2_monolit_stalker_0042
team 2, squad 2, group 2, aes2_monolit_stalker_0043
team 2, squad 2, group 2, aes2_monolit_stalker_0044
team 2, squad 2, group 2, aes2_monolit_stalker_0045
team 2, squad 2, group 2, aes2_monolit_stalker_0046
team 2, squad 2, group 2, aes2_monolit_stalker_0047
team 2, squad 2, group 2, aes2_monolit_stalker_0048
team 1, squad 1, group 1, aes2_monolit_stalker_0049
team 2, squad 2, group 2, aes2_monolit_stalker_0050
team 2, squad 2, group 2, aes2_monolit_stalker_0051
team 2, squad 2, group 2, aes2_monolit_stalker_0052
team 2, squad 2, group 2, aes2_monolit_stalker_0053
team 2, squad 2, group 2, aes2_monolit_stalker_0054
team 2, squad 2, group 2, aes2_monolit_stalker_0055
team 2, squad 2, group 2, aes2_monolit_stalker_0056
team 2, squad 2, group 2, aes2_monolit_stalker_0062
team 2, squad 2, group 2, aes2_monolit_stalker_0063
team 2, squad 2, group 2, aes2_monolit_stalker_0064
team 2, squad 2, group 2, aes2_monolit_stalker_0065
team 2, squad 2, group 2, aes2_monolit_stalker_0066
team 2, squad 2, group 2, aes2_monolit_stalker_0067
team 2, squad 2, group 2, aes2_monolit_stalker_0068
team 2, squad 2, group 2, aes2_monolit_stalker_0069
team 2, squad 2, group 2, aes2_monolit_stalker_0070
team 2, squad 2, group 2, aes2_monolit_stalker_0071
team 2, squad 2, group 2, aes2_monolit_stalker_0073
team 2, squad 2, group 2, aes2_monolit_stalker_0074
team 2, squad 2, group 2, aes2_monolit_stalker_0075
team 2, squad 2, group 2, aes2_monolit_stalker_0078
team 0, squad 0, group 0, aes2_stalker
team 3, squad 3, group 3, aes2_stalker_0002
team 3, squad 3, group 3, aes2_stalker_0003
team 3, squad 3, group 3, aes2_stalker_0004
team 3, squad 3, group 3, aes2_stalker_0005
team 3, squad 3, group 3, aes2_stalker_0008
team 3, squad 3, group 3, aes2_stalker_0010
team 3, squad 3, group 3, aes2_stalker_0011
team 0, squad 0, group 0, aes2_stalker_0030
team 0, squad 0, group 0, aes2_stalker_0032
team 0, squad 0, group 0, aes2_stalker_0035
team 0, squad 0, group 0, aes2_stalker_0036
team 3, squad 3, group 3, aes2_stalker_0037
team 3, squad 3, group 3, aes2_stalker_0038
team 3, squad 3, group 3, aes2_stalker_0039
team 3, squad 3, group 3, aes2_stalker_0040
team 3, squad 3, group 3, aes2_stalker_0041
importing alife objects from file alife_l22_marsh.ltx...
team 0, squad 0, group 0, mar_bloodsucker_strong
team 0, squad 0, group 0, mar_boar_normal
team 0, squad 0, group 0, mar_boar_normal_0000
team 0, squad 0, group 0, mar_boar_normal_0001
team 0, squad 0, group 0, mar_boar_normal_0002
team 0, squad 0, group 0, mar_boar_normal_0003
team 0, squad 0, group 0, mar_boar_weak
team 0, squad 0, group 0, mar_boar_weak_0000
team 0, squad 0, group 0, mar_boar_weak_0001
team 0, squad 0, group 0, mar_boar_weak_0002
team 0, squad 0, group 0, mar_boar_weak_0003
team 0, squad 0, group 0, mar_boar_weak_0004
team 0, squad 0, group 0, mar_flesh_normal
team 0, squad 0, group 0, mar_flesh_normal_0000
team 0, squad 0, group 0, mar_flesh_normal_0001
team 0, squad 0, group 0, mar_flesh_strong
team 0, squad 0, group 0, mar_flesh_strong_0000
team 0, squad 0, group 0, mar_flesh_strong_0001
team 0, squad 0, group 0, mar_flesh_strong_0002
team 0, squad 0, group 0, mar_flesh_strong_0003
team 0, squad 0, group 0, mar_flesh_weak
team 0, squad 0, group 0, mar_flesh_weak_0000
team 0, squad 0, group 0, mar_flesh_weak_0001
team 0, squad 0, group 0, mar_flesh_weak_0002
team 0, squad 0, group 0, mar_flesh_weak_0003
team 0, squad 0, group 0, mar_flesh_weak_0004
team 0, squad 0, group 0, mar_flesh_weak_0005
team 0, squad 0, group 0, mar_flesh_weak_0006
team 0, squad 0, group 0, mar_m_crow
team 0, squad 0, group 0, mar_m_crow_0000
team 0, squad 0, group 0, mar_m_crow_0001
team 0, squad 0, group 0, mar_m_crow_0002
team 0, squad 0, group 0, mar_m_crow_0003
team 0, squad 0, group 0, mar_m_crow_0004
team 0, squad 0, group 0, mar_m_crow_0005
team 0, squad 0, group 0, mar_m_crow_0006
team 0, squad 0, group 0, mar_m_crow_0007
team 0, squad 0, group 0, mar_m_crow_0008
team 0, squad 0, group 0, mar_m_crow_0009
team 0, squad 0, group 0, mar_m_crow_0010
team 0, squad 0, group 0, mar_m_crow_0011
team 0, squad 0, group 0, mar_m_crow_0012
team 0, squad 0, group 0, mar_m_crow_0013
team 0, squad 0, group 0, mar_m_crow_0014
team 0, squad 0, group 0, mar_pseudodog_strong
importing alife objects from file alife_l01_escape.ltx...
team 0, squad 0, group 0, esc_actor_0001
team 0, squad 0, group 0, esc_boar_weak_0006
team 0, squad 0, group 0, esc_bd__m_boar_e_0006
team 0, squad 0, group 0, esc_bd__m_boar_e_0007
team 0, squad 0, group 0, esc_bd__m_boar_e_0008
